Model,MAE,MAPE(%),MSE,RMSE,Time(s)
RandomForest,247396914.0,25.78,1.4256828604503422e+17,377582158.0,0.24
GradientBoosting,270461118.0,24.44,1.7160999545649142e+17,414258368.0,0.184
LightGBM,280070254.0,32.16,1.3294230995206885e+17,364612548.0,0.084
Ensemble_Voting,287640282.0,29.19,1.5579976806448765e+17,394714793.0,0.451
XGBoost,323668845.0,37.34,1.574296221046752e+17,396774019.0,0.089
Ensemble_Stacking,328931777.0,44.18,1.3550622256788082e+17,368111698.0,1.341
