Model,MAE,MAPE(%),SMAPE(%),R2,MSE,RMSE,Time(s)
CatBoost,92007474.0,10.98,10.84,0.9017,1.3083146149630522e+16,114381581.0,0.095
Ensemble_Weighted,92007474.0,10.98,10.84,0.9017,1.3083146149630522e+16,114381581.0,
Ensemble_Stacking,113844778.0,12.81,12.99,0.844,2.075251299705179e+16,144057325.0,1.102
GradientBoosting,123804484.0,14.31,14.65,0.8609,1.8507544532975292e+16,136042437.0,0.086
Ensemble_Voting,126351833.0,13.73,14.26,0.7869,2.834462505366285e+16,168358620.0,0.264
RandomForest,145233009.0,19.94,16.78,0.7009,3.978906882068179e+16,199471975.0,0.081
LightGBM,147110582.0,16.94,16.64,0.7374,3.4931840893921536e+16,186900618.0,0.011
XGBoost,160952797.0,16.87,17.96,0.6989,4.005693901901183e+16,200142297.0,0.091
Ridge,164087295.0,22.78,21.58,0.7317,3.5694876435772948e+16,188930877.0,0.001
