DM_DATA,RandomForest,GradientBoosting,XGBoost,LightGBM,Ensemble_Voting,Ensemble_Stacking
2025-01,928906092.5980518,891322391.3824993,8.303733e+08,588930896.5974923,734077737.6230612,979684666.0370425
2025-02,1230877721.071014,1336337065.7465992,1.2941391e+09,961199572.928366,1154960749.0486078,1362458576.689844
2025-03,1021408675.6001519,1008344127.5356258,1.0041655e+09,675165956.7009748,857246540.4991946,1124404571.2701259
2025-04,1085781636.5586114,1067192079.3437517,1.1631672e+09,954791456.2669555,1054998503.049501,1204107872.514629
2025-05,1138251789.9940982,1133841340.7908275,1.0874385e+09,859281538.1886272,1002924670.7691116,1186105326.0286634
2025-06,1349790677.70908,1295499528.0641317,1.3337458e+09,1414950375.1185384,1358948874.7468884,1317762477.7334049
