Model,MAE,MAPE(%),MSE,RMSE,Time(s)
RandomForest,224799404.0,23.66,1.3237390042129288e+17,363832242.0,0.154
XGBoost,242341378.0,35.55,7.875001128873112e+16,280624324.0,0.058
LightGBM,258959471.0,37.11,1.0462739270019227e+17,323461578.0,0.118
Ensemble_Voting,265992692.0,29.97,1.130709198652231e+17,336260197.0,0.505
Ensemble_Stacking,275179919.0,28.45,1.3377766761164027e+17,365756295.0,1.414
GradientBoosting,282521181.0,25.83,1.787509434850197e+17,422789479.0,0.127
