Model,MAE,MAPE(%),MSE,RMSE,MAE_std,Folds
XGBoost,249786693.0,28.22,9.611480343031768e+16,295567035.0,84796666.0,4
GradientBoosting,255010278.0,25.29,1.0526609913305162e+17,316801739.0,41491830.0,4
RandomForest,262449728.0,28.42,1.104655262809728e+17,319992987.0,73834376.0,4
Ensemble_Voting,269924536.0,30.75,1.1146026033039922e+17,319505743.0,92216268.0,4
Ensemble_Stacking,270254394.0,29.41,1.2213113612335317e+17,335511144.0,96719673.0,4
LightGBM,364308559.0,45.89,2.072779402597911e+17,434793775.0,124900986.0,4
