Model,MAE,MAPE(%),MSE,RMSE,Time(s)
XGBoost,92767664.0,10.42,1.0541149553015646e+16,102670101.0,3.01
Ensemble_Voting,100877813.0,12.76,1.3350305449063598e+16,115543522.0,0.832
GradientBoosting,117911730.0,12.46,2.5766381735286388e+16,160519101.0,0.177
RandomForest,139832021.0,20.0,2.6983331632356908e+16,164266039.0,0.585
LightGBM,225023504.0,34.95,7.856802885036822e+16,280299891.0,2.266
Ensemble_Stacking,1069947608.0,164.12,2.022589720988085e+18,1422177809.0,2.464
