DM_DATA,Ridge,RandomForest,GradientBoosting,XGBoost,LightGBM,CatBoost,Ensemble_Voting,Ensemble_Stacking
2025-01,551135667.3149241,757493377.6557088,618656816.7554119,6.7512864e+08,791161585.6869547,825797742.7833352,738997465.1389405,993178439.1921006
2025-02,1039858085.145786,1223248704.1746182,1191702986.7289612,1.3325989e+09,1141523707.2760727,1025703787.0069146,1164348431.8759375,1110392078.668614
2025-03,692658315.0141313,813245226.3470696,713537637.950342,7.1633875e+08,848792536.6652404,747647731.9248887,760739280.9853222,941586093.9576951
2025-04,879888016.2543948,899520440.1949828,794516105.4619484,8.7086637e+08,942651805.4757029,841801831.5617126,870713821.5268072,1003063441.783918
2025-05,1069478925.6197652,966764549.1702219,835080239.8162766,9.16178e+08,1095743094.6694298,838590474.032222,927807527.163569,1003418136.8189063
2025-06,1119008063.5948703,1265994091.4972236,1124250507.4666462,1.200571e+09,1114595531.8256025,1028816464.2516245,1114129298.636433,1112365922.382325
