DM_DATA,RandomForest,GradientBoosting,XGBoost,LightGBM,Ensemble_Voting,Ensemble_Stacking
2025-02,1165550142.03,1124539371.916817,1.1629132e+09,900135355.119259,1050127277.231067,2227227037.243971
2025-03,1762023254.405,2365705464.567025,1.7632442e+09,1578852458.559299,1809933506.7371247,1501260825.0611043
2025-04,1192763194.145,1433687666.486627,1.1727514e+09,1219727861.2755344,1247760305.7370138,1603927300.0089703
2025-05,1381749096.81,1431170013.8629434,1.3651852e+09,1559349971.7984614,1459223557.6343424,1737609074.0910892
2025-06,1423164233.72,1263306421.8396983,1.426285e+09,1220510772.1369205,1284487882.0131488,1913671354.8371572
2025-07,1288609194.095,1205697991.0643735,1.3730236e+09,657975551.248177,1097858210.4543674,562758310.7071848
