Model,MAE,MAPE(%),MSE,RMSE,Time(s)
RandomForest,208186158.0,22.18,1.2066364671880677e+17,347366732.0,0.247
GradientBoosting,260735943.0,23.63,1.6869648337385053e+17,410726775.0,0.352
Ensemble_Voting,263859379.0,25.71,1.4396909649453958e+17,379432598.0,0.52
LightGBM,274008488.0,30.15,1.3221430312875757e+17,363612848.0,0.065
Ensemble_Stacking,276973350.0,37.04,1.1742149656542235e+17,342668202.0,1.649
XGBoost,283571010.0,32.26,1.2428529551980034e+17,352541197.0,0.092
