Model,MAE,MAPE(%),MSE,RMSE,Time(s)
GradientBoosting,243654735.0,25.19,1.2939137265478656e+17,359710123.0,0.262
Ensemble_Voting,293600124.0,36.18,1.2822341765576082e+17,358082976.0,0.385
XGBoost,311937314.0,38.87,1.4294959822679923e+17,378086760.0,1.198
RandomForest,321735101.0,41.61,1.5467155965308896e+17,393283053.0,0.635
LightGBM,336760645.0,44.51,1.3205055413768709e+17,363387609.0,2.437
