Model,MAE,MAPE(%),MSE,RMSE,Time(s)
Ensemble_Stacking,226124045.0,23.19,1.2121501453048965e+17,348159467.0,1.591
RandomForest,258959371.0,26.8,1.5106903646927053e+17,388676004.0,0.206
XGBoost,259479917.0,31.28,1.1489708075418432e+17,338964719.0,0.113
Ensemble_Voting,261988526.0,32.13,1.126353442288757e+17,335611895.0,0.402
GradientBoosting,262460565.0,23.15,1.6760850853411536e+17,409400181.0,0.248
LightGBM,422416588.0,68.84,2.6674437930237686e+17,516473019.0,0.018
