Model,MAE,MAPE(%),MSE,RMSE,Time(s)
Ridge,0.0,0.0,0.0,0.0,0.005
GradientBoosting,129445378.0,15.08,2.5242970583148876e+16,158880366.0,0.141
XGBoost,156876506.0,19.75,3.776082099088291e+16,194321437.0,0.355
Ensemble_Stacking,172381339.0,22.14,3.736115477872137e+16,193290338.0,1.546
RandomForest,188081270.0,24.76,4.433482591520067e+16,210558367.0,0.365
Ensemble_Voting,261312874.0,39.05,8.457878486860347e+16,290824320.0,0.374
LightGBM,450849467.0,73.2,2.997542269759057e+17,547498152.0,2.612
