DM_DATA,Ridge,RandomForest,GradientBoosting,XGBoost,LightGBM,CatBoost,Ensemble_Voting,Ensemble_Stacking
2025-01,1228267857.3349867,930273979.6920005,1023264940.1288261,1.085795e+09,1131648608.5128949,1161220410.1914287,1110538830.7692056,1095333307.85158
2025-02,1493320554.9267511,1109785767.9821959,1163466143.7940173,1.1990583e+09,1237728949.4270809,1244142169.1863322,1217557137.139863,1214940853.22885
2025-03,1938370629.9961307,1109630737.0396643,1116517374.4004197,1.2314867e+09,1379066961.9675674,1175697920.1137936,1237227731.9423306,1218831486.2751179
2025-04,1149569924.7975695,1104044597.4513774,1097983582.4499521,1.1557015e+09,1257597871.819496,1108709893.117281,1162628070.826712,1140155225.293625
2025-05,2135348860.0520303,1283247316.3283315,1276690804.484366,1.2869663e+09,1251733804.7671938,1249433539.822359,1267812577.7812035,1270987486.2027974
2025-06,1860507517.6720886,1166808427.4181926,1145861544.170457,1.1880808e+09,1251889605.4085834,1221737908.6896377,1206817463.0692618,1204625115.9190176
