DM_DATA,RandomForest,GradientBoosting,XGBoost,LightGBM,Ensemble_Voting,Ensemble_Stacking
2025-01,911738214.9781471,903952057.9324179,7.948029e+08,577928086.3011193,717930438.9003942,939396864.643152
2025-02,1210165680.978269,1371809270.2210772,1.3291492e+09,907483278.8034089,1148642082.7521017,1408810525.6164317
2025-03,1013465418.3248957,995788007.3203293,1.0100762e+09,648603226.6091883,843110906.4491549,1117575122.550762
2025-04,1061772279.4992821,1101658425.0807328,1.1625596e+09,921886993.989832,1046953373.08518,1214153864.6789443
2025-05,987762479.9921782,1118785285.110712,1.0741997e+09,803821408.5419418,971066118.9224651,1175093107.2876532
2025-06,1352763281.4622633,1315797555.4537737,1.3192485e+09,1365928393.557399,1337666060.875468,1332095924.3364084
