DM_DATA,RandomForest,GradientBoosting,XGBoost,LightGBM,Ensemble_Voting,Ensemble_Stacking
2025-01,719982578.6525,493107770.66261595,6.891947e+08,487649933.2757987,569359402.6428427,2614785676.318826
2025-02,1173840525.2575,1259204840.9634843,1.1562363e+09,752522595.983829,1015955696.1862285,1989450845.7497215
2025-03,1033705749.8825,1095375998.3165588,9.914629e+08,680024592.323436,887629522.992686,2463233007.9006796
2025-04,992960219.565,988164776.5123898,9.9150304e+08,1032539003.5623994,1012175104.8568157,1394225099.6426525
2025-05,1159862852.025,1320706482.2515092,1.2147777e+09,970479268.8005188,1137153995.9705093,1941564254.1285222
2025-06,1321260788.2133334,1381463455.2524822,1.3028552e+09,1185366531.1622984,1271958179.1738682,1608969487.4468265
