DM_DATA,RandomForest,GradientBoosting,XGBoost,LightGBM,Ensemble_Voting
2025-01,715035470.5927739,539445633.8738874,6.511391e+08,499812947.0236123,568269934.3842224
2025-02,1159621073.1075506,1298574977.159703,1.1765673e+09,757083725.8315998,1032149868.1645806
2025-03,1043019232.233994,985923861.821216,9.168054e+08,692094951.7017885,841327764.2449586
2025-04,990626160.329501,1043784444.4244173,1.0400624e+09,1039122885.5916002,1045815154.9062784
2025-05,1158456750.1620913,1181622209.368413,1.2455322e+09,971229440.0195407,1121977638.681499
2025-06,1319887245.8230042,1308046788.3695133,1.2949425e+09,1183852404.1589954,1253283413.737501
