Model,MAE,MAPE(%),MSE,RMSE,Time(s)
Ridge,229595026.0,28.67,8.27353965107601e+16,287637613.0,0.003
RandomForest,239547305.0,25.53,1.3599217436386133e+17,368771168.0,0.275
Ensemble_Stacking,265487661.0,33.47,1.1848212406475725e+17,344212324.0,1.462
XGBoost,266689495.0,30.64,1.001518624117508e+17,316467790.0,0.104
GradientBoosting,273797935.0,24.8,1.7321600730524435e+17,416192272.0,0.291
Ensemble_Voting,276789301.0,27.68,1.4198258962705218e+17,376805772.0,0.538
LightGBM,280070254.0,32.16,1.3294230995206885e+17,364612548.0,0.094
ElasticNet,330292471.0,47.39,1.3984825766935682e+17,373962909.0,0.004
Lasso,336728278.0,48.89,1.4546077150277635e+17,381393198.0,0.004
