DM_DATA,Ridge,RandomForest,GradientBoosting,XGBoost,LightGBM,Ensemble_Voting,Ensemble_Stacking
2025-02,930360233.0000015,1208838794.445,1457754862.3020244,1.3214523e+09,1116578879.372036,1266763439.4092193,1754197396.7843223
2025-03,1263173480.0000026,1099284030.5575,1230622639.9787953,1.0852e+09,1184457743.906373,1154099036.7583082,1398306860.8698275
2025-04,1012076301.0000008,1094467247.835,1163300328.8544388,1.0902492e+09,1116578879.372036,1115398419.4826293,1487735352.1012847
2025-05,1603227499.000003,1124457138.945,1166739859.1062791,1.1901407e+09,1124366633.56323,1159150894.046548,1576580725.836765
2025-06,1963609353.0000057,1328999327.22,1372805435.1287303,1.3423227e+09,1481179425.741484,1403961932.5223396,1163911395.476354
2025-07,2667255651.0000124,1317389464.75,1458440360.6358938,1.3407635e+09,1615269222.3051782,1348291639.9869695,1343926794.4007826
