DM_DATA,RandomForest,GradientBoosting,XGBoost,LightGBM,Ensemble_Voting,Ensemble_Stacking
2025-02,1294076595.1411667,1444361163.4598615,1.3791309e+09,1383219292.7924197,1393812301.8089402,1381754898.1406872
2025-03,945709407.96,1014017660.0531756,9.740094e+08,1087686699.4955392,1027481407.0494919,1093070091.611674
2025-04,1027072508.085,1016510020.0681251,9.914402e+08,1006910721.3261482,1002682177.3440841,1013858640.7405252
2025-05,985564438.87,1028704427.8291566,9.989417e+08,1222181253.7522216,1094966411.06672,1233298854.992169
2025-06,1394277749.6065,1338895787.485386,1.3409816e+09,1245102532.716716,1298624115.6076334,1256304102.8460584
2025-07,1405890065.2289999,1374766118.2155678,1.3403812e+09,1203373591.0589228,1288016173.272204,1217537748.765817
