Model,MAE,MAPE(%),MSE,RMSE,MAE_std,Folds
GradientBoosting,225863869.0,23.23,8.775486057415589e+16,281495704.0,52259369.0,4
RandomForest,243105823.0,27.24,1.0101811562683915e+17,300385272.0,83457309.0,4
Ensemble_Voting,272775287.0,31.48,1.3182043484805837e+17,331383427.0,129981834.0,4
XGBoost,280410813.0,33.78,1.355761418936669e+17,333972690.0,139550125.0,4
Ensemble_Stacking,283333593.0,34.47,1.1912752374074818e+17,320988586.0,113130517.0,4
LightGBM,330339256.0,37.31,1.7562425735282573e+17,393870299.0,136912250.0,4
