model,MAE,MAPE,R2
XGBoost,135353859.9958974,15.850265552046672,0.8005638086101677
LightGBM,143511090.91114512,17.09654551832707,0.7293423220325428
CatBoost,84607325.97837178,12.319572901203385,0.9170606215188357
GradientBoosting,127809353.7794144,15.091448460790389,0.8561593681033731
RandomForest,136343675.36193636,19.572848479011128,0.7376652995229548
Ridge,468021926.9877963,85.77326563637348,-3.1251355860881116
Blending,120045078.32578045,14.55982628754395,0.8452852038794347
