Model,MAE,MAPE(%),SMAPE(%),R2,MSE,RMSE,Time(s)
CatBoost,80544125.0,9.96,9.8,0.9012,1.3143940786994642e+16,114647027.0,0.074
Ensemble_Weighted,80544125.0,9.96,9.8,0.9012,1.3143940786994642e+16,114647027.0,
Ensemble_Voting,92928634.0,11.01,11.07,0.8816,1.575160682444107e+16,125505406.0,0.296
XGBoost,94534292.0,11.94,11.24,0.8781,1.6211539829147888e+16,127324545.0,0.09
LightGBM,97120110.0,12.46,12.08,0.8912,1.4467328805996624e+16,120280210.0,0.018
Ensemble_Stacking,99987773.0,11.84,11.75,0.8734,1.6843576015989858e+16,129782803.0,1.254
GradientBoosting,123804484.0,14.31,14.65,0.8609,1.8507544532975292e+16,136042437.0,0.09
RandomForest,145233009.0,19.94,16.78,0.7009,3.978906882068218e+16,199471975.0,0.082
Ridge,164087295.0,22.78,21.58,0.7317,3.5694876435772948e+16,188930877.0,0.001
