Model,MAE,MAPE(%),MSE,RMSE,Time(s)
GradientBoosting,228157705.0,21.14,1.0406420039267096e+17,322589833.0,0.32
RandomForest,235670879.0,27.89,1.0989717886778978e+17,331507434.0,0.247
Ensemble_Voting,295909023.0,32.97,1.408553931580901e+17,375307065.0,0.526
XGBoost,301106018.0,37.18,1.2930056628282291e+17,359583879.0,0.121
LightGBM,308761077.0,38.79,1.5007761350780906e+17,387398520.0,0.098
Ensemble_Stacking,322325364.0,46.97,1.3322813537299e+17,365004295.0,1.77
