Model,MAE,MAPE(%),RMSE,R2,MAE_std,Folds
CatBoost,128897473.0,16.21,168382415.0,0.5423,51600660.0,4
XGBoost,146776448.0,18.08,200910053.0,0.367,64745555.0,4
Ensemble_Stacking,159965938.0,18.44,209646927.0,0.2694,72499471.0,4
Ensemble_Voting,173635434.0,20.19,223875732.0,0.2075,70480730.0,4
LightGBM,176187910.0,22.28,228481698.0,0.0899,110354990.0,4
GradientBoosting,197320517.0,21.78,250259072.0,-0.089,98300767.0,4
RandomForest,220901940.0,28.35,294129271.0,-0.4962,114114949.0,4
Ridge,333893336.0,41.24,437215668.0,-2.6422,192380843.0,4
