DM_DATA,RandomForest,GradientBoosting,XGBoost,LightGBM,Ensemble_Voting,Ensemble_Stacking
2025-01,935910083.6254416,984879957.9718944,8.23817e+08,522205929.41895425,711452128.8955727,1100691683.3351798
2025-02,1191404457.2818327,1318630482.5847397,1.2191004e+09,828652210.5587885,1063617996.1242877,1383510204.7850196
2025-03,1030024326.96763,1068920059.5645924,9.968054e+08,567114482.1516969,805460235.4505901,1250460382.96304
2025-04,1076923064.2166667,1115983426.7526765,1.2482368e+09,855663920.148705,1046452419.6840376,1345033525.3362782
2025-05,1148733032.9004185,1110004244.6608841,1.1136936e+09,836883825.0952809,995528354.6578704,1247119074.1235158
2025-06,1323873524.1499505,1333361383.2119813,1.3445295e+09,1348055708.1157918,1345017534.9195411,1349782032.2971478
