DM_DATA,RandomForest,GradientBoosting,XGBoost,LightGBM,Ensemble_Voting,Ensemble_Stacking
2025-02,1076208952.868,1270718557.798072,1.1218848e+09,651880615.6023036,963649877.8005358,1019400185.3813862
2025-03,1295482477.3762221,1311540858.4484677,1.2298906e+09,652111403.452881,999074774.5742337,1028262433.6559618
2025-04,1042042216.5193213,1235832567.919009,1.1123863e+09,418655343.6639236,845433296.682524,890214737.5725733
2025-05,1013495692.1932678,1138960385.583643,1.0829446e+09,1035288243.9250965,1190364342.8015785,1260799027.993103
2025-06,1129761481.3933332,731578536.583548,9.538303e+08,1495863378.0443492,1114435320.637397,1173061409.5871446
2025-07,1046945533.0104282,692507422.0164552,7.868879e+08,1425172799.1776178,1036454146.4603208,1112990027.1136413
