DM_DATA,RandomForest,GradientBoosting,XGBoost,LightGBM,Ensemble_Voting,Ensemble_Stacking
2025-01,966782816.6472303,838576223.6195498,7.8596576e+08,711304366.795367,765054102.8296986,919506645.0841197
2025-02,1232223769.3141549,1322159306.5383031,1.2175992e+09,977259374.0773005,1133606809.7955232,1312072828.0430605
2025-03,982604591.1193272,919181477.0367674,9.767687e+08,711304366.795367,850000412.3580918,1035690778.0695684
2025-04,1200827316.8560421,1196764888.888696,1.1156858e+09,977259374.0773005,1073056174.2193716,1213433233.591929
2025-05,1120019346.1236703,1086748038.7711837,1.177972e+09,897578695.5634428,1037810492.3926792,1184049557.2904143
2025-06,1304498935.3216455,1351774007.9678197,1.3493311e+09,1399953477.894349,1369072626.4092996,1349853661.4756322
