DM_DATA,Ridge,RandomForest,GradientBoosting,XGBoost,LightGBM,CatBoost,Ensemble_Voting,Ensemble_Stacking
2025-01,1228267857.3349867,930273979.6920005,1023264940.1288261,1.0341932e+09,1114926198.1548264,1086204127.0524313,1069936696.2969033,1057794791.7584094
2025-02,1493320554.9267511,1109785767.9822,1163466143.7940173,1.2452667e+09,1276538068.5942814,1225469133.4742641,1236334024.2311342,1238113678.0351095
2025-03,1938370629.9961307,1109630737.0396643,1116517374.4004197,1.2091059e+09,1256558969.2196798,1175399280.1122484,1198921604.6527135,1194467845.1407056
2025-04,1149569924.7975695,1104044597.4513774,1097983582.4499521,1.2069539e+09,1131753487.776525,1143020219.261375,1151637894.9439816,1129552829.454553
2025-05,2135348860.0520303,1283247316.328336,1276690804.484366,1.236644e+09,1278050821.298387,1277693837.8021286,1268413545.3421354,1278838576.4272108
2025-06,1860507517.6720886,1166808427.4181926,1145861544.170457,1.145442e+09,1243508599.5256002,1210293837.5344956,1188567798.4093723,1196678882.7480874
