DM_DATA,RandomForest,GradientBoosting,XGBoost,LightGBM,Ensemble_Voting,Ensemble_Stacking
2025-01,944107265.7184019,939759819.0035259,8.983924e+08,592662590.6183203,767560829.8954802,1110968210.3361259
2025-02,1237295139.5567877,1372905828.974859,1.228505e+09,913896709.9417692,1115516679.7518911,1390535115.5741434
2025-03,1046115298.7848153,1023329070.0108554,1.0373818e+09,668286705.7125827,867688105.7429686,1210171034.2496514
2025-04,1096438916.8251076,1132430218.0608602,1.099596e+09,890504239.5847416,1015196761.9712045,1230634530.0702004
2025-05,1170934306.7050505,1171137459.4082575,1.148415e+09,810713348.0681812,1001553587.0207064,1293629023.6113436
2025-06,1342136108.6842225,1308357490.5129259,1.3638598e+09,1338936889.4972339,1343726291.766661,1350099935.7947638
