Model,MAE,MAPE(%),MSE,RMSE,Time(s)
GradientBoosting,241726028.0,25.78,1.148618431981312e+17,338912737.0,0.14
Ensemble_Voting,271965623.0,33.36,1.1115994218773146e+17,333406572.0,0.354
XGBoost,282079404.0,39.13,1.1170592988189765e+17,334224371.0,0.128
RandomForest,310525884.0,40.29,1.522715758492817e+17,390219907.0,0.18
LightGBM,334479519.0,44.12,1.3057594353885192e+17,361352935.0,1.595
Ensemble_Stacking,1138293085.0,170.77,1.5988120069342876e+18,1264441381.0,1.229
