DM_DATA,Ridge,RandomForest,GradientBoosting,XGBoost,LightGBM,CatBoost,Ensemble_Voting,Ensemble_Stacking
2025-01,1228267857.3349867,930273979.6920005,1023264940.1288261,1.1684193e+09,987742454.9379355,1115533471.6722324,1078392578.3909943,1059073726.2519878
2025-02,1493320554.9267511,1109785767.9822,1163466143.7940173,1.2234915e+09,1211948820.9498496,1153172685.4282808,1193977955.3191147,1186311002.461537
2025-03,1938370629.9961307,1109630737.0396643,1116517374.4004197,1.215875e+09,1387844015.1952114,1130441125.0645633,1222788621.4901676,1206504908.9241521
2025-04,1149569924.7975695,1104044597.4513853,1097983582.4499521,1.2071288e+09,1229890879.5035906,1159404823.7226176,1189015054.2152162,1166982794.334184
2025-05,2135348860.0520303,1283247316.3283315,1276690804.484366,1.2928093e+09,1317907595.9834104,1210105104.9535644,1272708670.7789054,1278354741.1356096
2025-06,1860507517.6720886,1166808427.4181886,1145861544.170457,1.2502621e+09,1262311322.3150878,1155331354.0781543,1209716770.6039224,1205226143.4175134
