Model,MAE,MAPE(%),MSE,RMSE,Time(s)
GradientBoosting,152196261.0,16.55,4.771137108098194e+16,218429327.0,0.123
RandomForest,213373374.0,31.86,7.821311078292277e+16,279666070.0,0.356
Ensemble_Voting,221339426.0,31.44,7.678207669586648e+16,277095790.0,0.881
XGBoost,239808298.0,37.29,9.794515352329293e+16,312961904.0,0.448
LightGBM,249575277.0,34.98,8.888222248622005e+16,298131217.0,5.283
Ensemble_Stacking,330051925.0,48.09,1.412398570876206e+17,375818915.0,2.63
