Model,MAE,MAPE(%),MSE,RMSE,MAE_std,Folds
RandomForest,238653719.0,27.28,9.309541319956048e+16,293821194.0,60103776.0,4
GradientBoosting,265547960.0,27.77,1.0203030319698627e+17,307721113.0,77778887.0,4
XGBoost,273247042.0,33.61,1.2628160942756402e+17,319325506.0,138388059.0,4
Ensemble_Voting,285740184.0,33.49,1.388267171536586e+17,342386904.0,129604014.0,4
Ensemble_Stacking,292904461.0,36.88,1.3662662407626104e+17,341790685.0,129423135.0,4
LightGBM,337511962.0,38.97,1.799080832417608e+17,399566792.0,134826473.0,4
