DM_DATA,RandomForest,GradientBoosting,XGBoost,LightGBM,Ensemble_Voting,Ensemble_Stacking
2025-01,719229251.425,540634068.2672158,5.6482157e+08,285754507.00828207,448357243.65675604,2496197034.1552525
2025-02,1189585839.495,1280032000.9095054,1.2298305e+09,597047314.8777888,987905902.1330166,2047279793.8296194
2025-03,1055084844.635,983991506.1271687,9.2623955e+08,525395205.5996998,778037676.2653136,2380582584.545056
2025-04,1012399908.85,1057532910.7234607,9.465684e+08,895220017.6031156,947013341.1859382,1208420337.008377
2025-05,1167491327.67,1201668463.139598,1.192602e+09,941474165.9844606,1091365234.8634655,1891840668.5892234
2025-06,1326707812.08,1311092348.2750463,1.2908726e+09,1166649431.0888953,1245191637.2905674,1060147034.0892696
