Model,MAE,MAPE(%),MSE,RMSE,Time(s)
LightGBM,89629252.0,12.56,8312126551373580.0,91170865.0,0.112
XGBoost,184449978.0,27.09,5.053498792319316e+16,224799884.0,0.104
Ensemble_Stacking,211409474.0,30.17,5.6865009708781944e+16,238463854.0,2.335
Ensemble_Voting,227061644.0,31.76,8.137949367246125e+16,285270913.0,0.715
RandomForest,282969289.0,43.49,1.5393809876353072e+17,392349460.0,0.581
GradientBoosting,430798352.0,58.3,3.511939332610644e+17,592616177.0,0.221
