Model,MAE,MAPE(%),MSE,RMSE,MAE_std,Folds
RandomForest,226251639.0,25.8,9.525192500063498e+16,291174685.0,84865783.0,4
GradientBoosting,230468557.0,24.73,9.69844765243287e+16,292164243.0,78514534.0,4
Ensemble_Voting,259880942.0,29.69,1.2327871252244507e+17,322163091.0,124507640.0,4
Ensemble_Stacking,263029864.0,31.96,1.1353390149343914e+17,314613774.0,104415569.0,4
XGBoost,264987736.0,31.23,1.1767901901204101e+17,303609454.0,153927055.0,4
LightGBM,328823815.0,36.81,1.7544225564699792e+17,393620374.0,137492594.0,4
