Model,MAE,MAPE(%),MSE,RMSE,Time(s)
RandomForest,225026645.0,23.47,1.3547897351549832e+17,368074685.0,0.161
Ensemble_Voting,264698550.0,26.06,1.4410529985787704e+17,379612039.0,0.375
GradientBoosting,272095642.0,24.62,1.776441667092925e+17,421478548.0,0.162
LightGBM,274547127.0,31.09,1.3206239528937509e+17,363403901.0,0.073
XGBoost,280425922.0,31.36,1.2488406671245083e+17,353389398.0,0.083
Ensemble_Stacking,305540444.0,40.89,1.2932279590985256e+17,359614788.0,1.352
