Model,MAE,MAPE(%),MSE,RMSE,Time(s)
RandomForest,316883972.0,40.75,1.514858231979665e+17,389211797.0,0.321
Ensemble_Voting,317086482.0,40.41,1.4187649067986856e+17,376664958.0,0.427
XGBoost,326269111.0,44.1,1.441495894710594e+17,379670369.0,0.188
LightGBM,335959287.0,44.36,1.3149475291731187e+17,362622052.0,2.432
GradientBoosting,353444027.0,38.65,2.0654395025786742e+17,454471066.0,0.111
Ensemble_Stacking,985702616.0,150.44,1.2405923446703373e+18,1113818811.0,1.399
