Model,MAE,MAPE(%),SMAPE(%),R2,MSE,RMSE,Time(s)
LightGBM,83709708.0,10.27,10.16,0.93,9308964553167396.0,96482975.0,0.01
Ensemble_Weighted,91112178.0,9.74,9.79,0.8729,1.6905690097207846e+16,130021883.0,
XGBoost,93434313.0,10.44,10.77,0.9133,1.1539105022067974e+16,107420226.0,0.075
CatBoost,96254413.0,9.98,10.09,0.853,1.9550072912773556e+16,139821575.0,0.154
Ensemble_Stacking,96367843.0,9.82,10.26,0.8685,1.7491348752795166e+16,132254863.0,1.195
Ensemble_Voting,97844595.0,10.76,10.95,0.8972,1.3671367252840224e+16,116924622.0,0.399
GradientBoosting,123804484.0,14.31,14.65,0.8609,1.8507544532975292e+16,136042437.0,0.113
RandomForest,145233009.0,19.94,16.78,0.7009,3.978906882068218e+16,199471975.0,0.079
Ridge,164087295.0,22.78,21.58,0.7317,3.5694876435772948e+16,188930877.0,0.0
