Model,MAE,MAPE(%),RMSE,R2,MAE_std,Folds
XGBoost,124562541.0,15.5,167411927.0,0.4936,65488128.0,4
CatBoost,128725898.0,15.93,175256102.0,0.5301,56941358.0,4
Ensemble_Voting,160884584.0,18.62,203326914.0,0.2967,76656629.0,4
Ensemble_Stacking,160940046.0,17.62,213359480.0,0.2132,85407805.0,4
LightGBM,163918357.0,20.03,201016137.0,0.2334,104088707.0,4
GradientBoosting,197320517.0,21.78,250259072.0,-0.089,98300767.0,4
RandomForest,220901940.0,28.35,294129271.0,-0.4962,114114949.0,4
Ridge,333893336.0,41.24,437215668.0,-2.6422,192380843.0,4
