DM_DATA,Ridge,Lasso,RandomForest,GradientBoosting,XGBoost,LightGBM,Ensemble_Voting,Ensemble_Stacking,ElasticNet
2025-01,639187537.4291345,917575632.489,935910083.6254416,939759819.0035259,8.292986e+08,561107027.8219166,727287347.1432378,1045976423.7111937,897735989.8347298
2025-02,1062322818.7504274,975208914.1526264,1191404457.2818327,1385675835.3018608,1.2177061e+09,868706711.6748737,1094601311.0927267,1379661673.4931629,958005477.8406659
2025-03,1072804854.656075,1036462164.6058471,1030024326.9676265,1023329070.0108554,9.9378694e+08,631164123.5078025,832374799.1606454,1164701037.0178738,1022321156.7329897
2025-04,1149823199.6057246,1101562755.4932904,1076923064.216663,1132443468.8063715,1.2495159e+09,901368834.6004773,1072933270.6502713,1283989048.820977,1090954667.4569044
2025-05,1430634641.3171837,1170752339.7608414,1148733032.9004185,1173486773.3435545,1.1139018e+09,817249397.530012,998357206.577228,1248718121.4160736,1164195887.5671139
2025-06,1640876046.7741315,1244287748.6697009,1323873524.1499505,1307027209.3478675,1.3429585e+09,1378201443.0035415,1352009599.540367,1330349975.7070777,1242354155.5422173
