DM_DATA,RandomForest,GradientBoosting,XGBoost,LightGBM,Ensemble_Voting,Ensemble_Stacking
2025-01,706132635.6907566,654623589.4363455,7.186899e+08,565460358.9699296,640878660.5812745,742968091.491808
2025-02,1229896287.0957277,1442035685.4166868,1.3438424e+09,919970370.702035,1171235093.2202256,1459494665.5769708
2025-03,947863776.9584702,839964522.4359431,8.6711885e+08,693926299.7215528,788276714.3682389,909986249.1853508
2025-04,1071973603.7717396,1091525134.38362,1.1887994e+09,937322471.8278344,1062515848.0317558,1161434479.1505
2025-05,1006877461.54342,1054925384.8135791,1.1246313e+09,747444460.8520886,942931173.5761617,1148419282.0063515
2025-06,1298004354.1729662,1322007547.3494346,1.310086e+09,1258311351.4918673,1232457197.9730632,1311581275.8151267
