DM_DATA,RandomForest,GradientBoosting,XGBoost,LightGBM,Ensemble_Voting,Ensemble_Stacking
2025-01,992372363.0070564,922560912.7118075,8.457744e+08,630593254.6532072,765245100.3312824,1080146364.850085
2025-02,1150760773.1113431,1228426430.6044602,1.1714921e+09,844220938.3737993,1037941820.7997153,1319279702.5700178
2025-03,1042475018.7407763,1007827038.998077,1.1426098e+09,686746366.7222304,908981237.4430196,1266600198.796519
2025-04,1110389409.643069,1051562853.890628,1.02903405e+09,888741522.3721358,982418942.6572839,1160388492.0286963
2025-05,1143945814.648863,1143894317.2479553,1.2259793e+09,828163622.538056,1032486762.3913093,1316697797.6696458
2025-06,1382556243.9090278,1317242914.8258524,1.3422209e+09,1334242296.7548585,1340937506.8814018,1311527355.208507
