Model,MAE,MAPE(%),RMSE,R2,MAE_std,Folds
CatBoost,135125418.0,17.47,173905359.0,0.491,73784205.0,4
LightGBM,144923075.0,18.42,192917625.0,0.3648,67115830.0,4
Ensemble_Stacking,148789365.0,17.94,197291961.0,0.3692,55673395.0,4
XGBoost,172069727.0,22.06,222007032.0,0.1173,104721027.0,4
Ensemble_Voting,172117528.0,20.36,216137318.0,0.2344,71044109.0,4
GradientBoosting,197320517.0,21.78,250259072.0,-0.089,98300767.0,4
RandomForest,220901940.0,28.35,294129271.0,-0.4962,114114949.0,4
Ridge,333893336.0,41.24,437215668.0,-2.6422,192380843.0,4
